candidate_id,rationale,relation,canonical_id,source_name,source_topic_ranks
C258,Direct symptom.,base_variable,symptoms_patient_reported__sore_throat,Sore throat presence,"18,92"
C259,Spirometry result is an alias for the spirometry test category.,alias_of,laboratory_vitals__spirometry,Spirometry result,30
C260,Spirometry results is an alias.,alias_of,laboratory_vitals__spirometry,Spirometry results,38
C261,Alias for splenic metastasis.,alias_of,imaging_disease_sites__splenic_metastasis,Spleen metastasis,31
C262,Stereotactic radiation history is SRS history.,alias_of,procedures_surgery_radiation__history_of_stereotactic_radiosurgery,Stereotactic radiation therapy history,34
C263,Surgical status is the canonical variable.,alias_of,procedures_surgery_radiation__radiation_oncology_involvement,Surgical Status,83
C264,Surveillance imaging occurrence is a procedural/study design feature.,review,imaging_disease_sites__unclassified_procedural_features,Surveillance imaging occurrence,92
C265,Alias for SUVmax.,alias_of,imaging_disease_sites__suvmax,SUVmax,"7,19,70,93"
C266,Systemic symptoms is too vague and lacks specific evidence.,drop,symptoms_patient_reported__systemic_symptoms,Systemic symptoms,17
C267,Systemic symptoms presence is too vague.,drop,symptoms_patient_reported__systemic_symptoms_presence,Systemic symptoms presence,57
C268,Systolic blood pressure is a vital sign.,base_variable,laboratory_vitals__systolic_blood_pressure,Systolic blood pressure,62
C269,Regimen type.,base_variable,systemic_treatments_medications__chemotherapy_regimen_type,Taxane-based regimen use,65
C270,Thoracic PET/CT findings is a text-based summary field.,review,imaging_disease_sites__unclassified_text_summaries,Thoracic PET/CT findings,12
C271,Primary candidate for time since diagnosis.,base_variable,other__time_since_diagnosis,Time since diagnosis,1
C272,TNM stage is a type of cancer stage.,alias_of,diagnosis_stage_histology__cancer_stage,TNM Stage,"11,86"
C273,Cumulative dose is a radiation dose.,alias_of,procedures_surgery_radiation__radiation_dose_gy,Total cumulative radiation dose (Gy),36
C274,Total radiation dose is a radiation dose.,alias_of,procedures_surgery_radiation__radiation_dose_gy,Total radiation dose (Gy),91
C275,TP53 mutation status.,alias_of,molecular_biomarkers__tp53_mutation_status,TP53 Mutation Status,46
C276,Frequency is synonymous with interval.,alias_of,systemic_treatments_medications__chemotherapy_cycle_interval,Treatment cycle frequency,35
C277,Direct extraction of response status.,base_variable,systemic_treatments_medications__treatment_response_status,Treatment response status,95
C278,Direct mapping to TTF-1 expression.,base_variable,molecular_biomarkers__ttf1_expression_status,TTF-1 expression,"78,81"
C279,Tumor anatomical location is an alias.,alias_of,diagnosis_stage_histology__tumor_anatomical_location,Tumor anatomical location,59
C280,Alias for tumor diameter.,alias_of,imaging_disease_sites__tumor_diameter,Tumor diameter,7
C281,Alias for lung nodule location.,alias_of,imaging_disease_sites__lung_nodule_location,Tumor location,64
C282,Alias for tumor diameter.,alias_of,imaging_disease_sites__tumor_diameter,Tumor size,77
C283,Direct symptom.,base_variable,symptoms_patient_reported__unexplained_weight_loss,Unexplained weight loss,66
C284,Direct symptom.,base_variable,symptoms_patient_reported__vomiting,Vomiting,2
C285,Direct symptom.,base_variable,symptoms_patient_reported__wheezing,Wheezing,3
C286,Wheezing presence is a variation of wheezing.,alias_of,symptoms_patient_reported__wheezing,Wheezing presence,10
C287,WBC count is a standard lab measurement.,base_variable,laboratory_vitals__white_blood_cell_count,White Blood Cell Count,"33,49,64,96"
